sample_id,image_path,capture_date,location_context,object_description,why_unknown_or_difficult,lighting_condition,background_condition,human_note,usage
local_000001,ml/data/local_unknown/images/local_000001.jpg,2026-06-19,home/local environment,old rubber slipper,Footwear/rubber item outside the current TrashNet-trained labels,indoor,floor/tile,true unknown object class,unknown_test
local_000002,ml/data/local_unknown/images/local_000002.jpg,2026-06-19,home/local environment,flat electronic or battery-like component,E-waste-like object not represented by the current closed-set labels,outdoor,concrete,manual-review unknown sample,unknown_test
local_000003,ml/data/local_unknown/images/local_000003.jpg,2026-06-19,home/local environment,empty blister or foil packaging pieces,Mixed foil-plastic packaging and hazardous-like packaging appearance; not a clean known class,indoor,dark floor,ambiguous manual-review sample,unknown_test
local_000004,ml/data/local_unknown/images/local_000004.jpg,2026-06-19,home/local environment,rubber slipper,Footwear/rubber item outside the current TrashNet-trained labels,outdoor,concrete,true unknown object class,unknown_test
local_000005,ml/data/local_unknown/images/local_000005.jpg,2026-06-19,home/local environment,green sponge or foam piece,Foam/sponge material outside the current trained labels,indoor,tile/floor,true unknown material sample,unknown_test
local_000006,ml/data/local_unknown/images/local_000006.jpg,2026-06-19,home/local environment,worn rubber slipper,Footwear/rubber item outside the current TrashNet-trained labels,indoor,tile/floor,true unknown object class,unknown_test
local_000007,ml/data/local_unknown/images/local_000007.jpg,2026-06-19,home/local environment,mixed dirty waste pile,Multiple objects and contamination make single fine-label classification unsafe,outdoor,cluttered waste area,manual-review mixed waste sample,unknown_test
local_000008,ml/data/local_unknown/images/local_000008.jpg,2026-06-19,home/local environment,mixed litter with packaging and leaves,Cluttered mixed-material scene rather than a clean single known object,outdoor,soil/leaves,manual-review mixed waste sample,unknown_test
local_000009,ml/data/local_unknown/images/local_000009.jpg,2026-06-19,home/local environment,ceramic or tile slab,Ceramic/tile-like material outside the current trained labels,outdoor,ground/soil,true unknown material sample,unknown_test
local_000010,ml/data/local_unknown/images/local_000010.jpg,2026-06-19,home/local environment,fibrous rope/net/root-like material,Fiber-like material outside the current trained labels and visually ambiguous,outdoor,plants/soil,true unknown or manual-review sample,unknown_test
local_000011,ml/data/local_unknown/images/local_000011.jpg,2026-06-19,home/local environment,cloth or textile garment,Textile waste outside the current trained labels,indoor,floor,true unknown material sample,unknown_test
local_000012,ml/data/local_unknown/images/local_000012.jpg,2026-06-19,home/local environment,broken footwear sole,Footwear/rubber object outside the current trained labels,indoor,tile/floor,true unknown object class,unknown_test
local_000013,ml/data/local_unknown/images/local_000013.jpg,2026-06-19,home/local environment,burnt or damaged mixed waste,Damaged mixed-material waste makes confident known-class prediction unsafe,outdoor,cluttered ground,manual-review difficult sample,unknown_test
local_000014,ml/data/local_unknown/images/local_000014.jpg,2026-06-19,home/local environment,black rubber footwear piece,Footwear/rubber object outside the current trained labels,indoor,floor,true unknown object class,unknown_test
local_000015,ml/data/local_unknown/images/local_000015.jpg,2026-06-19,home/local environment,rubber slipper,Footwear/rubber object outside the current trained labels,indoor,tile/floor,true unknown object class,unknown_test
local_000016,ml/data/local_unknown/images/local_000016.jpg,2026-06-19,home/local environment,yellow sponge with stain,Foam/sponge material outside the current trained labels and slightly contaminated,indoor,floor,unknown/difficult sample,unknown_test
local_000017,ml/data/local_unknown/images/local_000017.jpg,2026-06-19,home/local environment,wood sticks or twigs,Wood material outside the current trained labels,outdoor,concrete/ground,true unknown material sample,unknown_test
local_000018,ml/data/local_unknown/images/local_000018.jpg,2026-06-19,home/local environment,green-yellow sponge,Foam/sponge material outside the current trained labels,indoor,floor,true unknown material sample,unknown_test
local_000019,ml/data/local_unknown/images/local_000019.jpg,2026-06-19,home/local environment,used toothpaste tube,Flexible mixed-material tube is not a clean TrashNet-style plastic item,indoor,floor,ambiguous mixed-material manual-review sample,unknown_test
local_000020,ml/data/local_unknown/images/local_000020.jpg,2026-06-19,home/local environment,sealed dry-cell battery,Battery/e-waste-like hazardous item outside the current trained labels,indoor,floor,hazardous-like manual-review sample,unknown_test
local_000021,ml/data/local_unknown/images/local_000021.jpg,2026-06-19,home/local environment,black rubber or plastic hardware strip,Object shape/material is outside the clean known training examples,outdoor,ground,unknown object sample,unknown_test
local_000022,ml/data/local_unknown/images/local_000022.jpg,2026-06-19,home/local environment,burnt wooden or rubber fragments,Damaged or charred fragments are visually ambiguous and unsafe for fine-label prediction,outdoor,concrete,manual-review difficult sample,unknown_test
local_000023,ml/data/local_unknown/images/local_000023.jpg,2026-06-19,home/local environment,wooden flat utensil or spatula-like tool,Wooden household utensil is outside the current expanded-public known labels and should be reviewed manually,indoor,tile/floor,wooden household-tool unknown/manual-review sample,unknown_test
local_000024,ml/data/local_unknown/images/local_000024.jpg,2026-06-19,home/local environment,wooden flat utensil or spatula-like tool,Wooden household utensil is outside the current expanded-public known labels and should be reviewed manually,indoor,tile/floor,wooden household-tool unknown/manual-review sample,unknown_test
local_000025,ml/data/local_unknown/images/local_000025.jpg,2026-06-19,home/local environment,wooden pestle or pounding tool,Wooden household tool is outside the current expanded-public known labels,indoor,tile/floor,wooden household-tool unknown sample,unknown_test
local_000026,ml/data/local_unknown/images/local_000026.jpg,2026-06-19,home/local environment,small yellow sponge piece,Foam/sponge material outside the current trained labels,indoor,floor,true unknown material sample,unknown_test
local_000027,ml/data/local_unknown/images/local_000027.jpg,2026-06-19,home/local environment,black flexible bag or mixed plastic-like object,Deformed flexible object is visually ambiguous and suitable for manual review,indoor,wooden floor,ambiguous manual-review sample,unknown_test
local_000028,ml/data/local_unknown/images/local_000028.jpg,2026-06-19,home/local environment,yellow sponge piece,Foam/sponge material outside the current trained labels,indoor,floor,true unknown material sample,unknown_test
local_000029,ml/data/local_unknown/images/local_000029.jpg,2026-06-19,home/local environment,phone charger or power adaptor,E-waste/electronic accessory outside the current trained labels,indoor,floor,true unknown/e-waste-like sample,unknown_test
local_000030,ml/data/local_unknown/images/local_000030.jpg,2026-06-19,home/local environment,compact fluorescent bulb,Bulb/e-waste-like hazardous item outside the current trained labels,indoor,floor,hazardous-like manual-review sample,unknown_test
local_000031,ml/data/local_unknown/images/local_000031.jpg,2026-06-19,home/local environment,folded mixed packaging or foam holder,Mixed or unclear packaging shape makes known fine-label classification unsafe,indoor,floor,ambiguous manual-review sample,unknown_test
local_000032,ml/data/local_unknown/images/local_000032.jpg,2026-06-19,home/local environment,toothbrush and pencil-like household items,Multi-object household scene with object types outside the clean waste labels,indoor,floor,manual-review multi-object sample,unknown_test
local_000033,ml/data/local_unknown/images/local_000033.jpg,2026-06-19,home/local environment,face mask,Textile/plastic mixed personal item outside the current trained labels,indoor,floor,manual-review unknown sample,unknown_test
local_000034,ml/data/local_unknown/images/local_000034.jpg,2026-06-19,home/local environment,black strap or belt-like object,Rubber/leather/textile-like object outside the current trained labels,indoor,floor,true unknown object sample,unknown_test
local_000035,ml/data/local_unknown/images/local_000035.jpg,2026-06-19,home/local environment,face mask,Textile/plastic mixed personal item outside the current trained labels,indoor,floor,manual-review unknown sample,unknown_test
local_000036,ml/data/local_unknown/images/local_000036.jpg,2026-06-19,home/local environment,blue fabric bag or pouch,Textile/fabric object outside the current trained labels,indoor,floor,true unknown material sample,unknown_test
local_000037,ml/data/local_unknown/images/local_000037.jpg,2026-06-19,home/local environment,sock or cloth item,Textile waste outside the current trained labels,indoor,floor,true unknown material sample,unknown_test
local_000038,ml/data/local_unknown/images/local_000038.jpg,2026-06-19,home/local environment,cloth or textile garment,Textile waste outside the current trained labels,indoor,floor,true unknown material sample,unknown_test
local_000039,ml/data/local_unknown/images/local_000039.jpg,2026-06-19,home/local environment,disposable glove,Rubber/plastic-like glove is a personal item outside the clean known categories,indoor,floor,manual-review unknown sample,unknown_test
local_000040,ml/data/local_unknown/images/local_000040.jpg,2026-06-19,home/local environment,cable or wire,Electronic accessory/wire outside the current trained labels,indoor,wooden surface,true unknown/e-waste-like sample,unknown_test
